4.41,2.56,-3.45,0
9.78,-7.03,-21.23,1
5.78,-2.29,-9.79,1
6.17,-4.68,-11.7,1
1.2,-9.74,-15.53,0
8.33,1.9,-3.37,1
-8.88,2.99,26.1,1
-6.72,6.68,24.11,1
-3.15,6.02,17.25,1
-7.67,9.37,35.81,1
0.71,4.33,4.95,1
-5.31,-6.05,6.11,1
-6.2,-1.47,14.02,1
-3.8,-2.11,5.26,0
1.06,1.56,-8.15,0
6.38,-4.97,-17.28,0
3.49,5.28,2.21,1
-7.15,0.61,20.29,1
6.61,8.15,0.48,1
9.43,4.35,-4.3,1
-7.28,7.73,22.62,1
-6.37,1.21,20.51,1
-3.8,-2.03,-4.12,0
-7.87,-0.68,22.43,1
4.74,4.18,-15.16,0
3.62,0.87,-10.67,0
-6.23,-0.4,14.75,0
-1.74,2.41,6.32,0
-4.92,-6.33,5.71,0
-8.14,8.49,26.2,0
-6.84,-2.94,5.32,0
-9.97,0.23,21.41,0
1.77,9.57,3.84,0
-2.79,-5.98,3.21,1
6.58,8.43,-10.73,0
-0.83,-7.72,-10.26,0
-7.56,-6.79,20.34,1
-6.68,-0.13,16.65,1
5.18,-0.46,-1.98,1
6.31,-3.42,-16.89,0
3.54,-5.97,-11.06,0
-0.42,-5.76,-6.6,0
-3.06,6.36,11.84,0
7.9,7.48,8.69,1
6.91,-6.97,-11.48,1
8.58,-6.85,-19.31,1
0.81,6.52,10.48,1
7.29,-0.91,-15.69,0
-5.55,4.8,19.43,1
4.22,5.91,-3.66,0
-8.67,6.66,32.93,1
-3.67,0.14,10.1,0
-5.19,8.48,17.63,0
3.11,3.29,4.87,1
5.75,5.78,4.06,1
9.63,2.67,-17.11,0
-6.8,-5.11,16.18,1
-3.81,3.05,13.88,0
-6.53,-7.62,16.47,1
4.08,-4.99,-17.57,0
-0.17,-6.68,-8.57,0
4.48,3.62,-4.13,0
-1.22,-8.16,-1.24,0
-8.19,4.5,23.75,0
9.6,2.72,-12.17,1
-3.01,2.68,14.54,1
-8.16,3.88,26.7,1
-2.3,-4.58,2.88,0
-3.49,6.79,16.85,1
-4.13,1.31,20.74,1
5.91,-0.43,-8.87,1
-5.2,-2.44,15.0,1
2.4,-9.75,-16.28,0
8.09,-0.09,-6.83,1
9.45,3.53,-13.93,0
1.02,5.1,4.65,1
6.45,-9.51,-20.62,0
-7.45,-6.35,13.62,1
-3.43,-2.76,7.86,1
-8.62,-0.81,24.05,1
-3.62,8.2,14.54,0
0.89,-9.45,-17.06,0
-2.38,3.69,19.13,1
8.4,2.25,-17.48,0
9.42,-9.72,-14.54,1
-2.41,3.86,10.02,0
-6.81,-3.72,17.81,1
4.03,-4.33,-13.4,0
-9.61,6.61,24.35,0
-1.11,9.95,11.88,0
-8.86,-6.73,15.85,1
-2.2,8.3,26.41,1
-4.57,5.54,11.64,0
1.61,-4.04,-14.47,0
-5.98,0.2,14.38,0
2.54,-5.0,-12.52,0
-7.98,-2.7,11.63,0
-7.57,-0.08,16.76,0
3.37,-5.91,-13.99,0
-5.96,-2.02,15.98,1
