-2.55,-2.18,13.67,1
-2.29,5.91,25.76,1
2.41,5.5,-4.7,0
-6.29,3.54,33.81,1
-5.24,2.99,22.04,1
6.07,9.41,-2.99,0
-7.49,6.21,26.63,1
-1.79,1.64,19.11,1
-0.9,-1.38,-6.01,0
1.56,-3.71,32.12,1
-6.49,-5.78,-11.22,0
3.23,3.72,8.87,1
-1.54,1.26,29.11,1
-0.55,-2.66,9.75,1
1.22,-0.75,2.88,0
6.43,3.81,-31.71,0
1.97,7.3,4.23,0
1.27,3.79,-8.6,0
0.45,1.33,3.06,1
1.03,-0.22,7.86,1
0.18,-6.0,-15.24,0
9.5,-4.48,-19.73,0
-9.92,-5.6,19.19,0
-5.28,9.09,40.68,1
1.79,3.9,11.36,1
-2.06,6.14,30.54,1
-9.51,-0.67,28.07,1
-2.08,4.4,11.04,1
-3.82,5.25,44.1,1
-1.89,-3.44,23.09,1
2.26,-7.62,-26.34,0
-7.46,8.1,33.52,1
4.76,5.76,-27.68,0
4.28,8.02,10.94,1
-2.16,4.35,10.81,1
7.72,-6.29,-9.11,1
-3.37,5.0,20.93,1
6.73,-1.91,-19.81,0
6.66,1.52,2.57,1
-8.6,8.99,12.4,0
8.34,5.07,2.0,1
-6.86,-0.62,31.35,1
2.91,-3.69,10.57,1
6.54,-9.37,-1.36,1
-9.22,4.86,25.99,0
2.22,-9.56,-14.57,0
-1.78,-9.28,9.95,1
-5.83,2.3,-13.42,0
8.46,-9.65,-40.62,0
-0.97,-4.45,3.45,1
2.19,-9.22,-6.84,1
-4.81,-9.77,29.21,1
6.5,1.8,-28.17,0
3.41,2.27,9.18,1
-9.61,6.63,27.66,1
-1.21,-1.61,0.79,0
-9.39,-8.51,2.67,0
2.21,7.19,-17.16,0
1.4,-3.51,-18.56,0
-0.36,-2.59,-6.28,0
5.57,6.09,19.11,1
1.01,-9.36,-37.89,0
-1.19,-0.58,-11.95,0
-3.33,-1.29,8.52,1
-1.84,8.79,30.96,1
5.77,-9.96,-8.89,1
-6.94,4.98,16.11,0
-4.69,-0.29,19.17,1
6.95,-2.72,-48.08,0
-0.43,-2.32,-0.54,0
-6.4,-0.48,-8.86,0
6.24,-2.86,1.77,1
-4.56,5.65,14.77,0
-2.94,-0.32,8.22,0
1.49,2.83,22.47,1
-3.8,-8.12,-12.01,0
-0.15,-8.75,-39.69,0
7.22,-3.75,-3.74,1
-6.7,-9.94,17.85,1
-2.0,0.04,10.69,1
-9.19,4.81,19.35,0
-4.12,3.12,6.02,0
